station,linename,entries,exits,real_entries,real_exits,people_flow,day_of_week,month,month_year,week,week_year
13,11,235702210.0,97672099.0,15540.0,4525.0,20065.0,2,1,27,2,168
12,46,2457268633.0,2038387623.0,28832.0,21194.0,50026.0,2,1,27,2,168
12,24,5083473571.0,1999521587.0,25927.0,22456.0,48383.0,2,1,27,2,168
12,11,5693990895.0,3813701830.0,10617.0,4527.0,15144.0,2,1,27,2,168
12,0,3919796759.0,2024141061.0,7273.0,7215.0,14488.0,2,1,27,2,168
11,101,957767830.0,42344561.0,2506.0,1877.0,4383.0,2,1,27,2,168
10,0,7285089103.0,1549220393.0,12214.0,6492.0,18706.0,2,1,27,2,168
9,60,7306081544.0,8898269844.0,7269.0,2870.0,10139.0,2,1,27,2,168
9,33,204849274.0,177174718.0,16465.0,8688.0,25153.0,2,1,27,2,168
9,11,195935937.0,93682094.0,12236.0,5352.0,17588.0,2,1,27,2,168
8,96,95081533.0,86450466.0,2543.0,1598.0,4141.0,2,1,27,2,168
8,40,332531024.0,120262550.0,2589.0,952.0,3541.0,2,1,27,2,168
8,35,261187458.0,157758550.0,11215.0,7480.0,18695.0,2,1,27,2,168
5,33,176902166.0,175866773.0,12745.0,9393.0,22138.0,2,1,27,2,168
4,101,6785336226.0,11501592883.0,2404.0,716.0,3120.0,2,1,27,2,168
4,40,7584165390.0,13252255361.0,1582.0,588.0,2170.0,2,1,27,2,168
3,35,406813774.0,382359630.0,20517.0,14885.0,35402.0,2,1,27,2,168
2,60,157465108.0,139633135.0,4564.0,3199.0,7763.0,2,1,27,2,168
2,33,395759139.0,3247752319.0,15510.0,12238.0,27748.0,2,1,27,2,168
2,0,408272324.0,208472714.0,12758.0,6073.0,18831.0,2,1,27,2,168
19,91,367493930.0,391639178.0,19237.0,20861.0,40098.0,2,1,27,2,168
