station,linename,entries,exits,real_entries,real_exits,people_flow,day_of_week,month,month_year,week,week_year
419,97,1466274828.0,5357881368.0,1829.0,970.0,2799.0,6,1,27,52,353
417,33,81365695.0,82028499.0,1101.0,975.0,2076.0,6,1,27,52,353
415,103,74512121.0,58622726.0,1231.0,934.0,2165.0,6,1,27,52,353
413,73,68782827.0,39275876.0,1021.0,677.0,1698.0,6,1,27,52,353
430,103,113777153.0,84030726.0,4961.0,2615.0,7576.0,6,1,27,52,353
408,85,8149262277.0,13454367878.0,8553.0,8216.0,16769.0,6,1,27,52,353
456,112,124044514.0,103393285.0,1820.0,1513.0,3333.0,6,1,27,52,353
459,0,15658441.0,1933598.0,418.0,37.0,455.0,6,1,27,52,353
497,87,549064841.0,252811175.0,2854.0,2810.0,5664.0,6,1,27,52,353
496,72,231770209.0,215307226.0,4325.0,4444.0,8769.0,6,1,27,52,353
494,122,179027988.0,174407302.0,1945.0,1889.0,3834.0,6,1,27,52,353
494,19,154400693.0,32732059.0,3087.0,812.0,3899.0,6,1,27,52,353
492,120,375364470.0,269298990.0,4512.0,5861.0,10373.0,6,1,27,52,353
491,19,80490878.0,91015978.0,1194.0,1476.0,2670.0,6,1,27,52,353
489,32,33928105.0,38190273.0,536.0,561.0,1097.0,6,1,27,52,353
489,19,1403277785.0,40023997.0,2973.0,1458.0,4431.0,6,1,27,52,353
487,33,1577618228.0,329349246.0,1875.0,1601.0,3476.0,6,1,27,52,353
486,0,37119644.0,28778221.0,6280.0,6856.0,13136.0,6,1,27,52,353
482,88,144825150.0,150104900.0,2129.0,2041.0,4170.0,6,1,27,52,353
480,71,212634924.0,190777184.0,2928.0,2111.0,5039.0,6,1,27,52,353
458,0,38290367.0,7368118.0,4554.0,305.0,4859.0,6,1,27,52,353
