station,linename,entries,exits,real_entries,real_exits,people_flow,day_of_week,month,month_year,week,week_year
379,40,1753855271.0,176691393.0,4479.0,2236.0,6715.0,0,1,27,1,81
377,19,81134254.0,66748267.0,1703.0,1682.0,3385.0,0,1,27,1,81
375,33,182872162.0,114013576.0,4573.0,3496.0,8069.0,0,1,27,1,81
373,35,3665067688.0,3658947292.0,1394.0,1493.0,2887.0,0,1,27,1,81
370,55,202915611.0,203932533.0,4353.0,4908.0,9261.0,0,1,27,1,81
368,11,99504945.0,93047717.0,3088.0,3227.0,6315.0,0,1,27,1,81
365,0,990618546.0,614568481.0,3325.0,2919.0,6244.0,0,1,27,1,81
334,58,483632218.0,229504327.0,3261.0,3443.0,6704.0,0,1,27,1,81
261,89,279551228.0,161667099.0,4395.0,2389.0,6784.0,0,1,27,1,81
331,81,2196141209.0,443686642.0,11801.0,5896.0,17697.0,0,1,27,1,81
285,86,1383823547.0,58209320.0,1559.0,1207.0,2766.0,0,1,27,1,81
285,35,797744852.0,88773200.0,1450.0,1760.0,3210.0,0,1,27,1,81
284,126,15640106871.0,5528079732.0,10646.0,8436.0,19082.0,0,1,27,1,81
282,71,122448170.0,58149010.0,3669.0,1161.0,4830.0,0,1,27,1,81
281,77,3863690906.0,2019462588.0,8440.0,6537.0,14977.0,0,1,27,1,81
280,94,143572944.0,27175738.0,2174.0,313.0,2487.0,0,1,27,1,81
280,73,1496485830.0,1568013257.0,2455.0,2183.0,4638.0,0,1,27,1,81
279,96,45171872.0,44310160.0,1770.0,1645.0,3415.0,0,1,27,1,81
277,94,95764988.0,93077596.0,2597.0,2396.0,4993.0,0,1,27,1,81
276,11,133216740.0,141856860.0,3233.0,2023.0,5256.0,0,1,27,1,81
275,120,1618604893.0,300905781.0,1693.0,1324.0,3017.0,0,1,27,1,81
